index,x,y,snippet,href
907,2003.713,16.011,e',textedit:///work/_2/m059_066.ly:12:101:102
908,2005.513,18.011,a,textedit:///work/_2/m059_066.ly:20:110:111
909,2009.639,28.15,b,textedit:///work/_2/m059_066.ly:46:35:36
910,2009.639,16.511,d',textedit:///work/_2/m059_066.ly:12:118:119
911,2011.439,18.011,a,textedit:///work/_2/m059_066.ly:20:129:130
912,2015.266,28.65,a,textedit:///work/_2/m059_066.ly:47:2:3
913,2015.266,17.011,cis',textedit:///work/_2/m059_066.ly:21:6:7
914,2018.258,16.011,e',textedit:///work/_2/m059_066.ly:13:19:20
915,2020.058,17.511,b,textedit:///work/_2/m059_066.ly:21:31:32
916,2021.858,16.011,e',textedit:///work/_2/m059_066.ly:13:44:45
917,2024.782,17.011,cis',textedit:///work/_2/m059_066.ly:21:59:60
918,2027.774,16.011,e',textedit:///work/_2/m059_066.ly:13:70:71
919,2032.322,16.511,d',textedit:///work/_2/m059_066.ly:21:82:83
920,2034.87,16.011,e',textedit:///work/_2/m059_066.ly:13:94:95
921,2037.793,17.011,cis',textedit:///work/_2/m059_066.ly:21:101:102
922,2040.785,16.011,e',textedit:///work/_2/m059_066.ly:13:111:112
923,2042.585,17.511,b,textedit:///work/_2/m059_066.ly:21:118:119
924,2044.385,16.011,e',textedit:///work/_2/m059_066.ly:13:131:132
925,2048.474,18.011,a,textedit:///work/_2/m059_066.ly:22:6:7
926,2050.874,14.511,a',textedit:///work/_2/m059_066.ly:14:19:20
927,2053.422,32.15,"a,",textedit:///work/_2/m059_066.ly:48:13:14
928,2053.422,15.011,gis',textedit:///work/_2/m059_066.ly:14:31:32
929,2056.824,31.65,"b,",textedit:///work/_2/m059_066.ly:48:18:19
930,2056.824,15.511,fis',textedit:///work/_2/m059_066.ly:14:44:45
931,2059.328,31.15,cis,textedit:///work/_2/m059_066.ly:48:21:22
932,2059.328,16.011,e',textedit:///work/_2/m059_066.ly:14:59:60
933,2061.728,18.011,a,textedit:///work/_2/m059_066.ly:22:69:70
934,2063.528,30.65,d,textedit:///work/_2/m059_066.ly:48:26:27
935,2063.528,15.511,fis',textedit:///work/_2/m059_066.ly:14:81:82
936,2065.328,18.011,a,textedit:///work/_2/m059_066.ly:22:92:93
937,2067.128,31.15,cis,textedit:///work/_2/m059_066.ly:48:28:29
938,2067.128,16.011,e',textedit:///work/_2/m059_066.ly:14:100:101
939,2069.396,18.011,a,textedit:///work/_2/m059_066.ly:22:110:111
940,2073.078,31.65,"b,",textedit:///work/_2/m059_066.ly:48:32:33
941,2073.078,16.511,d',textedit:///work/_2/m059_066.ly:14:118:119
942,2074.878,18.011,a,textedit:///work/_2/m059_066.ly:22:129:130
943,2078.96,32.15,"a,",textedit:///work/_2/m059_066.ly:50:2:3
944,2078.96,17.011,cis',textedit:///work/_2/m059_066.ly:28:6:7
945,2081.36,21.511,"a,",textedit:///work/_2/m059_066.ly:36:19:20
946,2083.16,18.011,a,textedit:///work/_2/m059_066.ly:28:31:32
947,2084.96,21.511,"a,",textedit:///work/_2/m059_066.ly:36:44:45
948,2086.76,18.511,gis,textedit:///work/_2/m059_066.ly:28:60:61
949,2088.56,21.511,"a,",textedit:///work/_2/m059_066.ly:36:70:71
950,2090.36,18.011,a,textedit:///work/_2/m059_066.ly:28:83:84
951,2092.16,21.511,"a,",textedit:///work/_2/m059_066.ly:36:94:95
952,2093.96,17.511,b,textedit:///work/_2/m059_066.ly:28:103:104
953,2095.76,21.511,"a,",textedit:///work/_2/m059_066.ly:36:112:113
954,2097.56,18.511,gis,textedit:///work/_2/m059_066.ly:28:120:121
955,2099.36,21.511,"a,",textedit:///work/_2/m059_066.ly:36:131:132
956,2102.954,18.011,a,textedit:///work/_2/m059_066.ly:29:6:7
957,2105.354,21.511,"a,",textedit:///work/_2/m059_066.ly:37:19:20
958,2107.154,17.011,cis',textedit:///work/_2/m059_066.ly:29:31:32
959,2110.078,18.011,a,textedit:///work/_2/m059_066.ly:37:44:45
960,2113.07,17.511,b,textedit:///work/_2/m059_066.ly:29:60:61
